timestamp,cpu_usage,memory_usage,predicted_cpu_usage
2025-03-27 20:33:17.932552,38.90,42.00,27.77
2025-03-27 20:33:23.391011,35.80,42.00,32.28
2025-03-27 20:33:28.705745,42.80,42.00,35.43
2025-03-27 20:33:34.187671,34.10,42.00,38.83
2025-03-27 20:33:39.489231,42.30,41.90,38.44
2025-03-27 20:33:44.930939,40.90,42.00,39.15
2025-03-27 20:33:50.347254,49.90,42.20,41.53
2025-03-27 20:33:56.253887,33.10,41.30,41.25
2025-03-27 20:34:01.774433,50.40,41.80,42.24
2025-03-27 20:34:07.246585,46.40,41.70,39.09
2025-03-27 20:34:12.722642,58.00,41.70,42.10
2025-03-27 20:34:18.207123,68.30,41.90,44.69
2025-03-27 20:34:27.202002,46.70,41.60,46.09
2025-03-27 20:34:32.602455,15.90,41.50,51.06
2025-03-27 20:34:37.876745,15.10,41.50,49.46
2025-03-27 20:34:43.340419,35.10,41.60,48.25
2025-03-27 20:34:48.693713,33.60,41.60,44.40
2025-03-27 20:34:53.998569,28.60,41.80,45.64
2025-03-27 20:34:59.342470,20.30,41.80,36.47
2025-03-27 20:35:04.667224,21.80,41.70,31.17
2025-03-27 20:35:10.019490,21.80,41.60,21.22
2025-03-27 20:35:15.315479,23.50,41.60,14.54
2025-03-27 20:35:20.671265,25.90,41.80,20.19
2025-03-27 20:35:26.088365,29.70,41.80,28.93
2025-03-27 20:35:31.523280,34.60,41.80,28.09
2025-03-27 20:35:36.939998,51.50,41.90,21.90
2025-03-27 20:35:42.674387,40.20,42.00,23.68
2025-03-27 20:35:48.181890,55.20,41.90,28.06
2025-03-27 20:35:53.582764,48.60,41.90,34.73
2025-03-27 20:35:59.031831,60.10,42.10,39.30
2025-03-27 20:36:04.645233,51.00,42.00,44.91
2025-03-27 20:36:10.141176,55.10,42.00,49.74
2025-03-27 20:36:15.607645,51.70,42.00,53.78
2025-03-27 20:36:28.719070,46.40,42.50,
2025-03-27 20:36:33.811186,7.40,42.20,
2025-03-27 20:36:38.895406,4.20,42.00,
2025-03-27 20:36:43.973764,7.70,42.00,
2025-03-27 20:37:01.974473,58.50,42.40,38.61
2025-03-27 20:37:07.316473,18.40,42.00,34.30
2025-03-27 20:37:12.619504,14.50,42.10,24.91
2025-03-27 20:37:18.075631,30.50,42.00,20.72
2025-03-27 20:37:23.387752,25.20,42.10,14.59
2025-03-27 20:37:28.682968,22.40,42.10,13.08
2025-03-27 20:37:33.986640,26.50,42.00,16.38
2025-03-27 20:37:39.298456,14.40,42.10,29.96
2025-03-27 20:37:44.632364,15.80,42.10,31.75
2025-03-27 20:37:49.973746,15.20,42.10,27.43
2025-03-27 20:37:55.291061,14.50,42.10,12.28
2025-03-27 20:38:00.591289,26.00,42.20,22.31
2025-03-27 20:38:05.989748,40.00,42.20,21.85
2025-03-27 20:38:11.308685,21.90,42.10,17.18
2025-03-27 20:38:16.658751,38.70,42.10,18.76
2025-03-27 20:38:22.000490,36.00,42.10,20.83
2025-03-27 20:38:27.425742,42.10,42.00,22.81
2025-03-27 20:38:32.834855,46.00,42.00,30.20
2025-03-27 20:38:38.165962,12.70,42.00,34.63
2025-03-27 20:38:43.571354,48.40,42.00,37.93
2025-03-27 20:38:49.007308,13.80,41.80,40.36
2025-03-27 20:38:54.292063,27.90,42.10,36.92
2025-03-27 20:38:59.672362,25.50,41.20,33.07
2025-03-27 20:39:05.003362,46.20,41.10,36.27
2025-03-27 20:39:10.425877,53.40,41.40,30.39
2025-03-27 20:39:15.834027,65.80,41.20,30.47
2025-03-27 20:39:21.607747,84.60,43.00,30.32
2025-03-27 20:39:28.741643,90.40,44.10,35.62
2025-03-27 20:39:34.411133,83.20,45.00,52.08
2025-03-27 20:39:39.824660,57.70,46.10,53.45
2025-03-27 20:39:45.241859,33.10,46.10,72.88
2025-03-27 20:39:50.675614,61.00,46.10,76.24
2025-03-27 20:39:56.091405,69.80,45.60,80.70
2025-03-27 20:40:01.559638,61.10,45.90,76.43
2025-03-27 20:40:07.333352,60.80,47.10,72.73
2025-03-27 20:40:13.441695,96.40,48.40,64.87
2025-03-27 20:40:19.026110,72.40,49.20,56.51
2025-03-27 20:40:24.387482,51.90,49.70,54.02
2025-03-27 20:40:29.709743,44.80,49.50,58.03
2025-03-27 20:40:35.141018,51.30,49.20,68.25
2025-03-27 20:40:40.525617,45.90,48.80,75.25
2025-03-27 20:42:58.473846,40.20,42.60,65.44
2025-03-27 20:43:03.758500,15.40,41.40,59.59
2025-03-27 20:43:09.035485,6.30,41.20,55.56
2025-03-27 20:43:14.310028,33.70,41.80,44.71
2025-03-27 20:43:19.689965,33.40,41.90,26.04
2025-03-27 20:43:24.976299,37.60,42.00,26.46
2025-03-27 20:43:30.265401,33.90,42.00,27.81
2025-03-27 20:43:35.534498,19.30,42.00,25.97
2025-03-27 20:43:40.794504,14.70,42.00,21.13
2025-03-27 20:43:46.090789,23.80,41.90,20.79
2025-03-27 20:43:51.403698,22.30,42.00,23.27
2025-03-27 20:43:56.693674,38.30,42.00,31.37
2025-03-27 20:44:02.197052,49.60,42.20,33.32
2025-03-27 20:44:07.559921,44.30,42.20,25.60
2025-03-27 20:44:13.068602,45.80,42.20,26.02
2025-03-27 20:44:18.410690,42.90,42.10,27.03
2025-03-27 20:44:23.836902,49.40,41.80,32.45
2025-03-27 20:44:29.111301,10.90,41.50,42.06
2025-03-27 20:44:34.410646,16.70,40.60,46.46
2025-03-27 20:44:39.744938,38.80,41.30,44.87
2025-03-27 20:44:45.104228,30.60,41.20,43.95
2025-03-27 20:44:50.502873,48.70,41.30,36.33
2025-03-27 20:44:55.891590,49.10,41.30,30.75
2025-03-27 20:45:01.230283,44.80,41.20,30.66
2025-03-27 20:45:06.659338,50.70,41.40,29.96
2025-03-27 20:45:12.035494,50.60,41.50,32.20
2025-03-27 20:45:17.409509,47.60,41.20,35.88
2025-03-27 20:45:22.717423,19.40,41.10,51.82
2025-03-27 20:45:27.970401,12.60,41.00,52.15
2025-03-27 20:45:33.390862,21.60,41.00,45.60
2025-03-27 20:45:38.657472,12.10,41.00,44.39
2025-03-27 20:45:43.948636,5.80,40.90,34.15
2025-03-27 20:45:49.259826,14.90,40.90,27.42
2025-03-27 20:45:54.559827,14.90,40.90,21.12
2025-03-27 20:45:59.844563,20.40,40.90,12.25
2025-03-27 20:46:05.134910,12.20,40.90,6.85
2025-03-27 20:46:10.395412,27.60,40.90,5.53
2025-03-27 20:46:15.771461,30.20,41.10,13.36
2025-03-27 20:46:33.438770,65.80,41.10,16.17
2025-03-27 20:46:38.978564,41.10,41.60,18.05
2025-03-27 20:46:44.355825,59.90,41.90,26.41
2025-03-27 20:46:49.839818,39.50,41.90,34.82
2025-03-27 20:46:55.219209,37.50,41.70,38.87
2025-03-27 20:47:00.739258,36.60,41.50,44.69
2025-03-27 20:47:06.253182,43.20,41.60,48.48
2025-03-27 20:47:11.865950,58.00,41.60,53.84
2025-03-27 20:47:17.354215,52.80,41.80,51.39
2025-03-27 20:47:22.754972,56.60,41.60,49.56
2025-03-27 20:47:28.478576,47.80,41.60,40.22
2025-03-27 20:47:33.856873,66.70,43.50,46.87
2025-03-27 20:47:41.869535,100.00,45.80,44.50
2025-03-27 20:47:47.566030,100.00,47.30,55.95
2025-03-27 20:47:54.550602,100.00,48.70,64.40
2025-03-27 20:48:00.530283,94.90,46.20,73.14
2025-03-27 20:48:06.245536,46.20,45.60,79.39
2025-03-27 20:48:11.920689,41.40,42.30,81.59
2025-03-27 20:48:17.274126,33.40,42.10,86.72
2025-03-27 20:48:22.559664,39.60,42.20,86.36
2025-03-27 20:48:27.837939,15.80,42.00,84.23
2025-03-27 20:48:33.139626,61.30,42.50,67.66
2025-03-27 20:48:39.912996,42.20,42.50,46.36
2025-03-27 20:48:46.351422,12.40,42.40,34.59
2025-03-27 20:48:52.396657,7.80,42.20,24.20
2025-03-27 20:48:58.471813,8.30,42.20,19.60
2025-03-27 20:49:04.517832,9.10,42.10,28.31
2025-03-27 20:49:10.549374,8.00,42.10,25.45
2025-03-27 20:49:16.583767,12.20,42.20,22.64
2025-03-27 20:49:22.596117,10.20,42.20,16.43
2025-03-27 20:49:29.143562,37.60,42.40,15.36
2025-03-27 20:49:35.212206,17.70,42.30,0.00
2025-03-27 20:49:41.318432,31.60,41.90,3.89
2025-03-27 20:49:52.118984,55.40,41.70,14.54
2025-03-27 20:49:58.564055,21.40,41.60,20.68
2025-03-27 20:50:04.929986,36.10,42.70,25.30
2025-03-27 20:50:12.596459,84.70,44.90,30.19
2025-03-27 20:50:20.207953,70.20,45.70,37.69
2025-03-27 20:50:26.430356,17.70,45.50,44.55
2025-03-27 20:50:32.462443,19.30,45.60,49.43
2025-03-27 20:50:38.515453,19.20,45.30,45.36
2025-03-27 20:50:44.726486,31.80,45.30,51.18
2025-03-27 20:50:50.986474,33.10,45.20,45.30
2025-03-27 20:50:57.112505,17.80,45.10,37.63
2025-03-27 20:51:03.513817,30.90,45.50,42.44
2025-03-27 20:51:09.796931,33.80,45.50,30.03
2025-03-27 20:51:16.463114,63.00,45.50,10.72
2025-03-27 20:51:22.782772,75.40,47.50,16.13
2025-03-27 20:51:31.295344,82.20,48.70,35.86
2025-03-27 20:51:38.531141,60.90,49.70,43.14
2025-03-27 20:51:45.097195,48.60,49.70,50.53
2025-03-27 20:51:51.492578,47.90,49.40,54.20
2025-03-27 20:51:58.080475,52.00,49.30,61.24
2025-03-27 20:52:04.643740,58.60,49.20,70.78
2025-03-27 20:52:11.581257,67.20,46.00,70.23
2025-03-27 20:52:18.419955,57.90,42.60,68.80
2025-03-27 20:52:25.185620,55.10,41.60,57.85
2025-03-27 20:52:31.560573,58.00,42.20,51.10
2025-03-27 20:52:38.478797,71.90,42.60,48.48
2025-03-27 20:52:45.112775,45.50,42.50,56.26
2025-03-27 20:52:51.526430,45.20,42.50,61.29
2025-03-27 20:52:58.028622,62.20,42.70,61.75
2025-03-27 20:53:11.964993,65.80,41.80,60.04
2025-03-27 20:53:18.338134,29.30,41.50,57.29
2025-03-27 20:53:24.613764,40.80,34.60,53.23
2025-03-27 20:53:30.681593,27.40,34.70,53.67
2025-03-27 20:53:36.679990,29.50,34.70,50.76
2025-03-27 20:53:43.122649,32.00,34.70,44.82
2025-03-27 20:53:49.063797,11.70,34.70,37.30
2025-03-27 20:53:55.143245,35.80,34.70,39.47
2025-03-27 20:54:01.522213,44.40,35.00,33.38
2025-03-27 20:54:09.680841,80.80,37.90,23.72
2025-03-27 20:54:16.443231,57.40,38.70,23.67
2025-03-27 20:54:22.465094,19.00,38.70,36.34
2025-03-27 20:54:28.478290,24.60,38.70,36.32
2025-03-27 20:54:34.531244,21.20,38.40,42.56
2025-03-27 20:54:40.641582,34.20,38.40,43.70
2025-03-27 20:54:46.748591,13.10,38.10,45.00
2025-03-27 20:54:52.714360,16.90,38.20,48.30
2025-03-27 20:54:58.851176,27.50,38.10,35.90
2025-03-27 20:55:04.891418,26.10,38.20,24.81
2025-03-27 20:55:11.105343,57.10,39.00,9.00
2025-03-27 20:55:17.331933,37.70,39.20,15.66
2025-03-27 20:55:23.556220,33.80,39.00,28.09
2025-03-27 20:55:29.672288,42.70,38.90,29.13
2025-03-27 20:55:35.750117,39.70,38.90,32.74
2025-03-27 20:55:41.935360,42.60,38.90,33.67
2025-03-27 20:55:47.999373,46.70,39.10,43.79
2025-03-27 20:55:54.265321,42.60,39.10,46.03
2025-03-27 20:56:00.582179,46.00,39.20,45.18
2025-03-27 20:56:06.734630,45.30,39.10,45.29
2025-03-27 20:56:12.877948,31.40,39.10,37.79
2025-03-27 20:56:19.142999,27.70,39.10,43.88
2025-03-27 20:56:25.382104,57.90,41.40,44.42
2025-03-27 20:56:31.748382,36.10,41.40,42.16
2025-03-27 20:56:37.878314,27.50,41.40,42.41
2025-03-27 20:56:43.971169,38.60,41.60,39.98
2025-03-27 20:56:50.281715,42.70,37.40,37.40
2025-03-27 20:56:56.798402,37.00,37.10,37.29
2025-03-27 20:57:02.931464,47.60,37.50,35.61
2025-03-27 20:57:09.037040,26.90,35.00,36.80
2025-03-27 20:57:15.120427,39.90,35.20,40.96
2025-03-27 20:57:21.846494,65.60,35.80,40.47
2025-03-27 20:57:28.127745,38.20,35.80,33.66
2025-03-27 20:57:34.419697,36.40,36.00,41.76
2025-03-27 20:57:40.899783,43.10,36.20,45.21
2025-03-27 20:57:47.441601,41.80,35.90,42.76
2025-03-27 20:57:53.416102,66.70,36.40,42.33
2025-03-27 20:57:59.753821,50.00,37.00,45.38
2025-03-27 20:58:05.880048,45.70,38.10,45.26
2025-03-27 20:58:12.799244,61.50,38.00,52.19
2025-03-27 20:58:19.033621,55.20,38.90,48.85
2025-03-27 20:58:26.174248,63.10,40.00,44.24
2025-03-27 20:58:32.689904,64.30,39.60,55.25
2025-03-27 20:58:39.091365,34.20,39.70,59.14
2025-03-27 20:58:45.517907,38.20,40.00,58.69
2025-03-27 20:58:51.743179,34.70,40.40,57.57
2025-03-27 20:58:58.118178,53.00,41.20,49.22
2025-03-27 20:59:04.349858,70.40,43.50,52.45
2025-03-27 20:59:11.744789,70.10,45.20,52.12
2025-03-27 20:59:18.193150,26.60,44.90,47.30
2025-03-27 20:59:24.208774,17.50,44.90,47.00
2025-03-27 20:59:30.521273,27.00,45.00,42.20
2025-03-27 20:59:36.646270,11.60,44.40,41.15
2025-03-27 20:59:42.626675,22.80,41.40,47.27
2025-03-27 20:59:48.967169,25.30,41.10,42.57
2025-03-27 20:59:55.014049,10.80,41.10,36.91
2025-03-27 21:00:00.998136,25.30,41.20,22.64
2025-03-27 21:00:06.988587,22.10,41.20,10.03
2025-03-27 21:00:13.754205,60.70,41.30,7.23
2025-03-27 21:00:20.582337,58.70,41.00,20.62
2025-03-27 21:00:27.238588,40.00,41.10,26.66
2025-03-27 21:00:33.924516,55.70,41.60,29.17
2025-03-27 21:00:40.018605,10.10,41.10,38.97
2025-03-27 21:00:45.987014,14.90,41.40,39.95
2025-03-27 21:00:52.409193,21.20,41.10,42.60
2025-03-27 21:00:58.362353,7.60,41.10,47.33
2025-03-27 21:01:04.371037,49.30,41.60,40.94
2025-03-27 21:01:11.011663,47.40,41.00,36.36
2025-03-27 21:01:17.558537,41.50,41.30,20.99
2025-03-27 21:01:24.257376,60.00,41.20,19.23
2025-03-27 21:01:30.898001,50.10,36.90,24.64
2025-03-27 21:01:37.825554,53.30,37.00,25.91
2025-03-27 21:01:44.348089,43.90,37.00,45.40
2025-03-27 21:01:50.943387,20.70,37.00,50.67
2025-03-27 21:01:57.017646,47.60,37.10,53.55
2025-03-27 21:08:36.867177,55.80,41.40,57.85
2025-03-27 21:08:43.250555,18.50,41.40,46.35
2025-03-27 21:08:48.719685,7.00,41.30,44.94
2025-03-27 21:08:54.153094,41.10,41.60,41.48
2025-03-27 21:08:59.867119,25.70,41.50,32.14
2025-03-27 21:09:05.399336,10.90,41.40,30.55
2025-03-27 21:09:10.865912,10.10,41.30,25.85
2025-03-27 21:09:16.319701,8.70,41.30,25.31
2025-03-27 21:09:21.804383,8.60,41.20,26.01
2025-03-27 21:09:27.239034,9.00,41.10,12.49
2025-03-27 21:09:32.732360,8.80,41.10,7.15
2025-03-27 21:09:38.201259,8.60,41.10,15.21
2025-03-27 21:09:43.642460,8.80,41.10,14.06
2025-03-27 21:09:49.084759,8.80,41.10,1.65
2025-03-27 21:09:54.537889,9.60,41.10,4.61
2025-03-27 21:09:59.997654,11.70,40.90,8.30
2025-03-27 21:10:05.445261,7.20,40.90,8.65
2025-03-27 21:10:10.899559,7.10,40.90,9.12
2025-03-27 21:10:16.353171,8.10,40.90,9.12
2025-03-27 21:10:21.819278,8.90,40.90,8.95
2025-03-27 21:10:27.254486,8.00,40.90,8.95
2025-03-27 21:10:32.695741,9.20,40.90,8.88
2025-03-27 21:10:38.165113,9.70,40.90,8.67
2025-03-27 21:10:43.666839,8.00,40.90,8.47
2025-03-27 21:10:49.101025,8.90,40.90,7.98
2025-03-27 21:10:54.550077,8.50,40.90,7.55
2025-03-27 21:11:00.006637,8.90,40.90,9.00
2025-03-27 21:11:05.461076,8.90,41.00,9.18
2025-03-27 21:11:10.905629,9.30,41.00,8.96
2025-03-27 21:11:16.353333,8.40,41.00,8.83
2025-03-27 21:11:21.819872,9.20,41.00,9.03
2025-03-27 21:11:27.273016,8.50,41.00,8.66
2025-03-27 21:11:32.736096,8.50,41.00,8.58
2025-03-27 21:11:38.173618,8.30,41.00,9.05
